start_node,relations,end_node
注意吸引,isTypeOf,认知加工过程
识别聚焦,isTypeOf,信息决策过程
关联推理,isTypeOf,语义理解过程
学习建构,isTypeOf,知识输出过程
数字阅读,hasPart,多模态感知
注意吸引,relatedTo,快速定向
识别聚焦,relatedTo,相关性判断
关联推理,relatedTo,意义通达
学习建构,relatedTo,思维重塑
认知过程,hasComponent,感知特征提取
认知过程,hasComponent,任务导向处理
数字阅读,influencedBy,认知需求
学习建构,promotes,问题解决
内侧膝状体,relatedTo,听觉处理
初级视觉皮层,relatedTo,视觉信息处理
腹外侧前额叶皮层,relatedTo,内容通路
背外侧前额叶皮层,relatedTo,空间通路
左下顶叶皮层,relatedTo,语义加工
梭状回,relatedTo,词形解析
伏隔核,relatedTo,奖赏反应
前脑岛,relatedTo,情绪过滤
韦尼克区,relatedTo,语言分辨
角回,relatedTo,跨通道联系
左侧额下回眶部,relatedTo,记忆提取
背内侧前额叶皮层,relatedTo,语篇连贯
左侧颞中回,relatedTo,语义整合
布罗卡区,relatedTo,语言生成
海马区,relatedTo,情景记忆
听觉皮层,isPartOf,听觉系统
视觉皮层,isPartOf,视觉系统
腹侧通路,relatedTo,形状处理
背侧通路,relatedTo,运动识别
奖赏系统,relatedTo,选择倾向
beta波,relatedTo,认知资源投入
MMN,relatedTo,自动加工
P300,relatedTo,记忆更新
LPP,relatedTo,精细处理
alpha波,relatedTo,工作记忆负荷
N400,relatedTo,语义冲突
LPC,relatedTo,情景记忆
首次注视时间,relatedTo,注意吸引强度
眼跳时间,relatedTo,知觉广度
眼跳距离,relatedTo,阅读速度
平均瞳孔直径,relatedTo,情绪唤醒
平均注视时间,relatedTo,决策信心
注视次数,relatedTo,信息加工数量
回视指标,relatedTo,重新加工
瞳孔扩张,relatedTo,点击倾向
眼动模式,relatedTo,学习策略
beta1成分,relatedTo,反应速度
SMR成分,relatedTo,感知灵敏度
研究,usesMethod,功能性磁共振成像
研究,usesMethod,事件相关电位
研究,usesMethod,眼动追踪
文献收集,isPartOf,研究方法
